candidate_id,product_id,area_pixels,area_m2,centroid_row,centroid_col,centroid_x_m,centroid_y_m,centroid_lat,centroid_lon,mean_ratio_proxy,mean_intensity,mean_pol_imbalance_proxy,mean_texture,mean_candidate_score,interpretation,rank,mean_slope_deg,max_slope_deg,std_slope_deg,mean_dem_roughness_proxy,slope_condition,mean_ice_probability,max_ice_probability,mean_terrain_roughness,ice_confidence_score,shallow_ice_likelihood,deep_ice_likelihood,psr_stability_proxy,depth_likelihood_class,mean_ratio_contribution,mean_intensity_contribution,mean_roughness_suitability_contribution,mean_psr_proxy_contribution,area_km2,equivalent_candidate_patch_diameter_m,equivalent_diameter_m,max_candidate_score,threshold_stability,mean_uncertainty_score,confidence_score,confidence_score_after_roughness_penalty,confidence_level,confidence_before_penalty,confidence_after_penalty,candidate_confidence_after_roughness_penalty,roughness_penalty_score,roughness_ambiguity_risk,radar_ambiguity_flag,threshold_stability_class,reason_for_confidence,validation_priority_rank,slope_safety_score,roughness_hazard_score,refined_candidate_score,refinement_status,refined_rank
C-055,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,213.0,488.625,77864.338366,11048.818869000002,-87.40691873656922,81.92374258254729,1.4569249153137207,7.851357460021973,0.18393030762672424,0.13780471682548523,0.8225793838500977,radar-based candidate subsurface ice signature; requires independent validation,8,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.8393717408180237,0.8634000420570374,0.0,1.0,1.0,0.6499999761581421,0.28291943669319153,shallow-likelihood,0.28117689304053783,0.2667193468660116,0.22279146872460842,0.06868401169776917,0.005,79.78845608028654,79.78845608028654,0.8684244751930237,0.6666666865348816,0.0,0.7165587401390076,0.7086260965943002,Medium,Medium,Medium,Medium,0.007932643544707343,Low,roughness ambiguity manageable in current proxy layers,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,5,1.0,0.0,0.9196858704090118,kept_for_planning,1.0
C-052,ch2_sar_ncls_20200808t201154198_d_cp_d18,10,6250.0,211.0,542.9,79221.213366,11098.818869000002,-87.36240310507867,82.02482211355412,1.400106430053711,7.888537406921387,0.16485734283924103,0.13285283744335175,0.7950607538223267,radar-based candidate subsurface ice signature; requires independent validation,13,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.8171346783638,0.858161985874176,0.0,0.9961431503295899,0.9949860811233521,0.6449860632419586,0.2571002721786499,shallow-likelihood,0.2693049505352974,0.26224620938301085,0.22441332787275314,0.061170165240764615,0.00625,89.20620580763855,89.20620580763855,0.8647186756134033,0.5,0.0,0.699034825838529,0.6933092355735327,Medium,Medium,Medium,Medium,0.005725590264996304,Low,roughness ambiguity manageable in current proxy layers,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,6,1.0,0.0,0.9085673391819,kept_for_planning,2.0
C-050,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,208.875,492.0,77948.713366,11151.943869000002,-87.40368598899394,81.85807471394118,1.5210094451904297,7.723388671875,0.20305286347866058,0.1604185402393341,0.8336400985717773,radar-based candidate subsurface ice signature; requires independent validation,6,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.8167684674263,0.8478644490242004,0.0,1.0,1.0,0.6499999761581421,0.28104448318481445,shallow-likelihood,0.28776482678949833,0.24626406095921993,0.21460121124982834,0.06813836470246315,0.005,79.78845608028654,79.78845608028654,0.8844437003135681,0.5,0.0,0.6867648315429687,0.668753203984148,Low,Medium,Low,Low,0.018011627558820808,Low,roughness ambiguity manageable in current proxy layers,Medium,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,11,1.0,0.0,0.90838423371315,kept_for_planning,3.0
C-042,ch2_sar_ncls_20200808t201154198_d_cp_d18,15,9375.0,190.4,520.0,78648.713366,11613.818869000002,-87.37866334028057,81.60000904743451,1.4528228044509888,7.784298896789551,0.18035173416137695,0.14519503712654114,0.7999980449676514,radar-based candidate subsurface ice signature; requires independent validation,11,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.8110658526420593,0.8523538708686829,0.0,0.9966184854507446,0.9956040223439534,0.6456040024757386,0.26653122504552207,shallow-likelihood,0.2726962129275004,0.2543399840593338,0.2201148400704066,0.06391474405924479,0.009375,109.25484305920791,109.25484305920791,0.874777615070343,0.6666666865348816,0.0,0.7954865578504708,0.7842600475937813,High,High,High,High,0.011226510256689552,Low,roughness ambiguity manageable in current proxy layers,Medium,High before penalty; High after roughness penalty; low roughness ambiguity and medium threshold stability.,2,1.0,0.0,0.9055329263210297,kept_for_planning,4.0
C-030,ch2_sar_ncls_20200808t201154198_d_cp_d18,9,5625.0,166.33333333333334,466.3333333333333,77307.04669933332,12215.485535666669,-87.41938261588577,81.02078608918964,1.4599138498306274,7.669826984405518,0.18351319432258606,0.14525248110294342,0.7878220081329346,radar-based candidate subsurface ice signature; requires independent validation,17,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.8005759716033936,0.8594837784767151,0.0,0.9860531091690063,0.9818690352969699,0.6318690247005887,0.2901484039094713,shallow-likelihood,0.2732038050889969,0.23649033738507164,0.22009404334757063,0.0707877700527509,0.005625,84.62843753216345,84.62843753216345,0.8739455938339233,0.3333333432674408,0.0,0.6510774035637196,0.6398252905193338,Low,Low,Low,Low,0.011252113044385824,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,20,1.0,0.0,0.9002879858016968,kept_for_planning,5.0
C-045,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,197.0,518.125,78601.838366,11448.818869000002,-87.38098119480708,81.71281164230992,1.346312165260315,8.153535842895508,0.14725962281227112,0.199837327003479,0.8050523996353149,radar-based candidate subsurface ice signature; requires independent validation,9,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7937235832214355,0.8215467929840088,0.0,1.0,1.0,0.6499999761581421,0.26787547767162323,shallow-likelihood,0.2590930964797735,0.27000001072883606,0.2003245484083891,0.06430594436824322,0.005,79.78845608028654,79.78845608028654,0.8677915334701538,0.5,0.0,0.6776167678833007,0.6420361819762753,Low,Low,Low,Low,0.03558058590702536,Low,roughness ambiguity manageable in current proxy layers,Medium,Low before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,18,1.0,0.0,0.8968617916107178,kept_for_planning,6.0
C-025,ch2_sar_ncls_20200808t201154198_d_cp_d18,21,13125.0,158.23809523809524,457.1904761904762,77078.4752707619,12417.86648804762,-87.42577142180633,80.84790171837825,1.4772069454193115,7.713853359222412,0.19065582752227783,0.21856272220611572,0.8460480570793152,radar-based candidate subsurface ice signature; requires independent validation,3,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7926511168479919,0.8378415107727051,0.0,0.9962722290129888,0.995153892607916,0.6451538716043744,0.29385359798158917,shallow-likelihood,0.2848376589162009,0.24240476531641825,0.19354260287114552,0.07186604965300787,0.013125,129.27207364566027,129.27207364566027,0.9999999403953552,0.7777777910232544,0.0,0.9062909364700317,0.8623644395044743,High,High,High,High,0.043926496965557414,Low,roughness ambiguity manageable in current proxy layers,High,High before penalty; High after roughness penalty; low roughness ambiguity and high threshold stability.,1,1.0,0.0,0.896325558423996,kept_for_planning,7.0
C-011,ch2_sar_ncls_20200808t201154198_d_cp_d18,18,11250.0,128.61111111111111,428.72222222222223,76366.76892155556,13158.541091222225,-87.44489680276521,80.22352631143121,1.3928159475326538,7.72969388961792,0.16001683473587036,0.18428555130958557,0.7799490094184875,radar-based candidate subsurface ice signature; requires independent validation,18,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7844164371490479,0.845028817653656,0.0,0.9965108864837222,0.9954641461372375,0.6454641256067488,0.3049464424451192,shallow-likelihood,0.25578995214568245,0.24757514314519036,0.20595707330438826,0.07509426772594452,0.01125,119.6826841204298,119.6826841204298,0.8816025853157043,0.45370373129844666,0.0,0.7834013523505284,0.754752194877398,Medium,High,Medium,Medium,0.028649157473130467,Low,roughness ambiguity manageable in current proxy layers,Medium,High before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,3,1.0,0.0,0.8922082185745239,kept_for_planning,8.0
C-038,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,183.75,518.625,78614.338366,11780.068869000002,-87.3789777607809,81.47784635136681,1.3815526962280273,7.681058883666992,0.15887592732906342,0.1781647801399231,0.7950525879859924,radar-based candidate subsurface ice signature; requires independent validation,14,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7818046808242798,0.830344021320343,0.0,0.9945947825908661,0.9929732233285904,0.6429731994867325,0.26671357080340385,shallow-likelihood,0.26965308748185635,0.24000984616577625,0.20817388966679573,0.0639678118750453,0.005,79.78845608028654,79.78845608028654,0.8675281405448914,0.3333333432674408,0.0,0.6410834968090057,0.6151623678361462,Low,Low,Low,Low,0.0259211289728595,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,29,1.0,0.0,0.8909023404121399,kept_for_planning,9.0
C-029,ch2_sar_ncls_20200808t201154198_d_cp_d18,14,8750.0,165.92857142857142,475.2142857142857,77529.07050885714,12225.604583285716,-87.41210196237117,81.0387861879755,1.3974170684814453,7.643134593963623,0.16397888958454132,0.1717217117547989,0.775698184967041,radar-based candidate subsurface ice signature; requires independent validation,20,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7792388796806335,0.8387259840965271,0.0,0.9891019761562347,0.9858325549534389,0.6358325396265302,0.2859255863087518,shallow-likelihood,0.2692796747599329,0.2298929382647787,0.2105074343936784,0.069558854081801,0.00875,105.5502061411188,105.5502061411188,0.8964940905570984,0.3333333134651184,0.0,0.7087362357286306,0.6856867831665694,Medium,Medium,Medium,Medium,0.02304945256206126,Low,roughness ambiguity manageable in current proxy layers,Low,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and low threshold stability.,9,1.0,0.0,0.8896194398403168,kept_for_planning,10.0
C-031,ch2_sar_ncls_20200808t201154198_d_cp_d18,10,6250.0,170.6,470.8,77418.713366,12108.818869000002,-87.41629263136137,81.11056710668414,1.3920361995697021,7.542685031890869,0.1620064377784729,0.12665019929409027,0.7354005575180054,radar-based candidate subsurface ice signature; requires independent validation,31,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7772012948989868,0.8279855251312256,0.0,0.9770000636577606,0.9701000690460205,0.620100063085556,0.28835620284080504,shallow-likelihood,0.265318463742733,0.2150096282362938,0.22660694867372513,0.07026620879769326,0.00625,89.20620580763855,89.20620580763855,0.8332285284996033,0.3166666626930237,0.0,0.643276895559751,0.6403158219183988,Low,Low,Low,Low,0.0029610736413522333,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,19,1.0,0.0,0.8886006474494934,kept_for_planning,11.0
