filename,paper_title,source,duplicate_group,duplicate_status,canonical_reference_filename,duplicate_detection_basis,sha256_12,path,exists,size_bytes,used_in_pipeline
remotesensing-14-04863.pdf,Selection of Lunar South Pole Landing Site Based on Constructing and Analyzing Fuzzy Cognitive Maps,Remote Sensing 2022,remote_sensing_fcm_2022,unique_used,remotesensing-14-04863.pdf,duplicate group/title match; hash recorded for audit,2f108fc4c7e9,C:\Users\nsraw\Downloads\remotesensing-14-04863.pdf,True,12339105,True
1-s2.0-S2095927325001999-main.pdf,Upper limit of ice content at the lunar south pole as revealed by the Earth-based SYISR-FAST bistatic radar system,Science Bulletin 2025,science_bulletin_sysisr_fast_2025,unique_used,1-s2.0-S2095927325001999-main.pdf,duplicate group/title match; hash recorded for audit,dc97f260845e,C:\Users\nsraw\Downloads\1-s2.0-S2095927325001999-main.pdf,True,4541484,True
1-s2.0-S2095927325001999-main (1).pdf,Upper limit of ice content at the lunar south pole as revealed by the Earth-based SYISR-FAST bistatic radar system,Science Bulletin 2025,science_bulletin_sysisr_fast_2025,duplicate_ignored,1-s2.0-S2095927325001999-main.pdf,duplicate group/title match; hash recorded for audit,3347fdf96b32,C:\Users\nsraw\Downloads\1-s2.0-S2095927325001999-main (1).pdf,True,4540748,False
pnas.1802345115.sapp.pdf,Supporting information for direct evidence of surface-exposed water ice in the lunar polar regions,PNAS supporting information,pnas_surface_exposed_ice_si,unique_used,pnas.1802345115.sapp.pdf,duplicate group/title match; hash recorded for audit,3d87057df74f,C:\Users\nsraw\Downloads\pnas.1802345115.sapp.pdf,True,20250110,True
1-s2.0-S0094576525004898-main.pdf,Path planning algorithm for a South Pole lunar rover mission,Acta Astronautica 2025,acta_rover_path_planning_2025,unique_used,1-s2.0-S0094576525004898-main.pdf,duplicate group/title match; hash recorded for audit,3e84f133178e,C:\Users\nsraw\Downloads\1-s2.0-S0094576525004898-main.pdf,True,3799103,True
