product_id,path,pixel_resolution_m,lat_min,lat_max,lon_min_raw,lon_max_raw,coverage_fraction,coverage_class,usable_for_analysis,overlaps_faustini_lat,simple_lon_overlap,coverage_note
ch2_ohr_ncp_20211228T2209123959_d_img_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20211228T2209123959_d_img_d18.zip,0.28,-89.923132,-89.252796,55.564452,233.745958,0.0,NO COVERAGE,False,False,True,not co-registered to Faustini AOI
ch2_ohr_ncp_20241115T1326321339_d_img_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20241115T1326321339_d_img_d18.zip,0.24,-89.946885,-89.19986,22.453651,229.728973,0.0,NO COVERAGE,False,False,True,not co-registered to Faustini AOI
ch2_ohr_ncp_20241115T1525004388_d_img_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20241115T1525004388_d_img_d18.zip,0.24,-89.950601,-89.193425,4.686608,229.33004,0.0,NO COVERAGE,False,False,True,not co-registered to Faustini AOI
ch2_ohr_ncp_20251010T0942085687_d_img_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20251010T0942085687_d_img_d18.zip,0.22,-89.928812,-89.219895,57.548965,351.147086,0.0,NO COVERAGE,False,False,True,not co-registered to Faustini AOI
