route_type,status,target_candidate_id,start_landing_site_id,start_row,start_col,target_row,target_col,steps,length_m,cost,total_cost,mean_slope_deg,max_slope_deg,interpretation,start_lat,start_lon,target_lat,target_lon,percent_route_under_5deg,percent_under_5deg,percent_5_to_8deg,percent_8_to_10deg,percent_route_5_to_10deg,percent_route_above_10deg,percent_above_10deg,blocked_cells_avoided,science_reward_score,energy_cost_proxy,traverse_risk_score,route_accessibility_note,route_decision_score,route_decision_rank,route_recommendation
shortest,ok,C-055,L-01,60,784,212,489,296,8949.011537017748,361.3563232421875,361.3563232421875,0.0,0.0,conceptual rover traverse on proxy traversability cost map,-87.1467974308515,80.10291118780192,-87.4064969088293,81.90667199448421,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.5830264264163939,10319.39330994918,0.06172890869060506,conceptual rover navigation planning prototype; not operational rover command generation,0.5,1,recommended
safest,ok,C-055,L-01,60,784,212,489,296,8949.011537017748,407.7652587890625,407.7652587890625,0.0,0.0,conceptual rover traverse on proxy traversability cost map,-87.1467974308515,80.10291118780192,-87.4064969088293,81.90667199448421,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.5830264264163939,10319.39330994918,0.06172890869060506,conceptual rover navigation planning prototype; not operational rover command generation,0.5,2,alternative
science_priority,ok,C-055,L-01,60,784,212,489,296,8949.011537017746,434.96160888671875,434.96160888671875,0.0,0.0,conceptual rover traverse on proxy traversability cost map,-87.1467974308515,80.10291118780192,-87.4064969088293,81.90667199448421,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.6749983016099479,10494.403037661492,0.06961222975872727,conceptual rover navigation planning prototype; not operational rover command generation,0.25,4,alternative
energy_efficient,ok,C-055,L-01,60,784,212,489,296,8949.011537017748,391.9181823730469,391.9181823730469,0.0,0.0,conceptual rover traverse on proxy traversability cost map,-87.1467974308515,80.10291118780192,-87.4064969088293,81.90667199448421,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.5830264264163939,10319.39330994918,0.06172890869060506,conceptual rover navigation planning prototype; not operational rover command generation,0.5,3,alternative
